nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
plants,provide,provides,"plants , in turn , provide energy for other forms of life , such as animals .","plants , in turn , [MASK] energy for other forms of life , such as animals .",provide,provide,17,5,1,0,5,1,2,,
lines,indicate,indicates,several lines of evidence indicate that some junk dna '' sequences are likely to have unidentified functional activity and that the process of exaptation of fragments of originally selfish or non functional dna has been commonplace throughout evolution .,several lines of evidence [MASK] that some junk dna '' sequences are likely to have unidentified functional activity and that the process of exaptation of fragments of originally selfish or non functional dna has been commonplace throughout evolution .,indicate,indicate,39,3,1,0,4,1,1,,
moments,include,includes,some notable moments in the rivalry include washington 's victory over dallas in the 1982 nfc championship and the latter 's 1989 win over the redskins for their only victory that season .,some notable moments in the rivalry [MASK] washington 's victory over dallas in the 1982 nfc championship and the latter 's 1989 win over the redskins for their only victory that season .,include,include,33,4,1,0,6,1,1,,
books,include,includes,other books in the series include the great white wyrm by peter archer and saving solace by douglas w .,other books in the series [MASK] the great white wyrm by peter archer and saving solace by douglas w .,include,include,20,4,1,0,5,1,1,,
examples,include,includes,classical examples in disney animation include the lion king or the little mermaid which both involve the tyrannical takeover of a monarchy and its overhaul .,classical examples in disney animation [MASK] the lion king or the little mermaid which both involve the tyrannical takeover of a monarchy and its overhaul .,include,include,26,4,1,0,5,1,1,,
members,have,has,all members of this protein family have 11 transmembrane segments .,all members of this protein family [MASK] 11 transmembrane segments .,have,have,11,5,2,0,6,2,1,,
centers,try,tries,the film centers on a couple as they try to conceive a child .,the film centers on a couple as they [MASK] to conceive a child .,try,try,14,6,2,0,8,2,3,,
problems,include,includes,the problems i have raised for mediation include how to incorporate npov and blp policies into a contentious article .,the problems i have raised for mediation [MASK] how to incorporate npov and blp policies into a contentious article .,include,include,20,6,1,1,7,1,1,,
steps,represent,represents,steps that lead up to the fountain represent the carniolan mountains .,steps that lead up to the fountain [MASK] the carniolan mountains .,represent,represent,12,7,1,1,7,1,1,,
tissues,lose,loses,the meristematic tissues that take up a specific role lose the ability to divide .,the meristematic tissues that take up a specific role [MASK] the ability to divide .,lose,lose,15,7,1,1,9,1,1,,
groups,bear,bears,historic groups in the area during first european contact bear out this division .,historic groups in the area during first european contact [MASK] out this division .,bear,bear,14,8,2,0,9,2,1,,
people,stop,stops,"thus people today stop at the laws of nature , treating them as something inviolable , just as god and fate were treated in past ages .","thus people today [MASK] at the laws of nature , treating them as something inviolable , just as god and fate were treated in past ages .",stop,stop,27,2,1,0,3,1,1,,
votes,include,includes,the votes won by this candidate include both their working families and their party of affiliation figures combined .,the votes won by this candidate [MASK] both their working families and their party of affiliation figures combined .,include,include,19,5,1,1,6,1,1,,
horses,go,goes,the leading horses from the race sometimes go on to compete in the following month 's dewhurst stakes .,the leading horses from the race sometimes [MASK] on to compete in the following month 's dewhurst stakes .,go,go,19,5,1,1,7,1,2,,
studies,include,includes,studies indicating that an h5n1 pandemic may be more pathogenic than was the spanish flu include a mouse study in which the h5n1 virus elicited significantly higher levels of pro inflammatory cytokines in the lungs .,studies indicating that an h5n1 pandemic may be more pathogenic than was the spanish flu [MASK] a mouse study in which the h5n1 virus elicited significantly higher levels of pro inflammatory cytokines in the lungs .,include,includes,36,15,2,1,15,2,1,,
cells,receive,receives,"the human eye 's non image forming photosensitive ganglion cells in the retina receive the light signals which affect adjustment of the size of the pupil , regulation and suppression of the hormone melatonin and entrainment of the body clock .","the human eye 's non image forming photosensitive ganglion cells in the retina [MASK] the light signals which affect adjustment of the size of the pupil , regulation and suppression of the hormone melatonin and entrainment of the body clock .",receives,receives,41,4,4,1,13,4,1,,
specimens,have,has,recent specimens of oxygyrus keraudreni have an uncalcified shell of conchiolin in the adult stage .,recent specimens of oxygyrus keraudreni [MASK] an uncalcified shell of conchiolin in the adult stage .,has,have,16,4,0,0,5,0,none,,
houses,include,includes,two gentry houses from the 18th century include plas y meibion and llangolman farm .,two gentry houses from the 18th century [MASK] plas y meibion and llangolman farm .,include,include,15,5,2,0,7,2,1,,
forms,contain,contains,"forms of naphtha may be carcinogenic , and frequently products sold as naphtha contain some impurities which may also have harmful properties of their own .","forms of naphtha may be carcinogenic , and frequently products sold as naphtha [MASK] some impurities which may also have harmful properties of their own .",contains,contains,26,13,3,1,13,2,11,,
features,include,includes,"features of the phone include a ti omap 3440 arm cortex a8 720 mhz cpu , 256 mb ram , wi fi 802 .","features of the phone [MASK] a ti omap 3440 arm cortex a8 720 mhz cpu , 256 mb ram , wi fi 802 .",include,include,24,4,1,0,4,1,1,,
broadcasts,have,has,"interestingly , the offending word was not censored during a late night broadcast of the film on abc in 1985 ; subsequent broadcasts of the film on network television have the word removed altogether .","interestingly , the offending word was not censored during a late night broadcast of the film on abc in 1985 ; subsequent broadcasts of the film on network television [MASK] the word removed altogether .",has,have,35,7,7,2,29,7,1,,
results,show,shows,"the results of a scientific survey conducted in march show that about 45 percent of 1 , 080 children in three fukushima communities tested positive for thyroid exposure to radiation .","the results of a scientific survey conducted in march [MASK] that about 45 percent of 1 , 080 children in three fukushima communities tested positive for thyroid exposure to radiation .",show,show,31,8,1,1,9,1,4,,
areas,use,uses,"while remote areas of the world still use handstamps , machine cancellation is ubiquitous , and in the industrialized nations the vast majority of mail is cancelled by machine .","while remote areas of the world still [MASK] handstamps , machine cancellation is ubiquitous , and in the industrialized nations the vast majority of mail is cancelled by machine .",use,use,30,5,1,0,7,1,2,,
newspapers,have,has,"the newspapers of dalarnas tidningar group have a combined circulation of 65 , 000 copies ( 2005 ) , while their main competitor dala demokraten ( social democratic ) has 18 , 600 ( 2007 ) , according to tidningsstatistik ab .","the newspapers of dalarnas tidningar group [MASK] a combined circulation of 65 , 000 copies ( 2005 ) , while their main competitor dala demokraten ( social democratic ) has 18 , 600 ( 2007 ) , according to tidningsstatistik ab .",has,has,42,5,3,0,6,2,1,,
parts,have,has,"the different parts of the cingulate gyrus have different functions , and are involved with affect , visceromotor control , response selection , skeletomotor control , visuospatial processing , and in memory access .","the different parts of the cingulate gyrus [MASK] different functions , and are involved with affect , visceromotor control , response selection , skeletomotor control , visuospatial processing , and in memory access .",have,have,34,5,2,0,7,2,1,,
instances,need,needs,all instances of this redirect need to be replaced with the correct template call .,all instances of this redirect [MASK] to be replaced with the correct template call .,need,need,15,4,1,0,5,1,1,,
terms,include,includes,"terms associated with personal or attitudinal class discrimination include white trash '' , little men '' or little people , '' trailer trash '' , the unwashed masses '' , moochers , '' and bludgers '' .","terms associated with personal or attitudinal class discrimination [MASK] white trash '' , little men '' or little people , '' trailer trash '' , the unwashed masses '' , moochers , '' and bludgers '' .",includes,include,37,8,2,1,8,2,1,,
presidents,include,includes,past presidents of the bank include thomas e .,past presidents of the bank [MASK] thomas e .,include,include,9,4,1,0,5,1,1,,
types,do,does,"not all types of caller identification use 202 type modulation , nor do all systems send the information between the first and second ring , e .","not all types of caller identification use 202 type modulation , nor [MASK] all systems send the information between the first and second ring , e .",do,do,27,10,4,1,12,4,3,,
variants,include,includes,"variants of the title include ma'athir al umara , maasir al umara , and maathir ul umara .","variants of the title [MASK] ma'athir al umara , maasir al umara , and maathir ul umara .",include,include,18,4,1,0,4,1,1,,
editors,want,wants,"if the editors of this page want to stop , they can put a date limit in the introduction .","if the editors of this page [MASK] to stop , they can put a date limit in the introduction .",want,want,20,4,1,0,6,1,1,,
consumers,know,knows,the basic idea of the green dot is that consumers who see the logo know that the manufacturer of the product contributes to the cost of recovery and recycling .,the basic idea of the green dot is that consumers who see the logo [MASK] that the manufacturer of the product contributes to the cost of recovery and recycling .,know,know,30,5,3,1,14,3,1,,
effects,include,includes,"other effects of global warming include changes in agricultural yields , trade routes , glacier retreat , species extinctions and increases in the ranges of disease vectors .","other effects of global warming [MASK] changes in agricultural yields , trade routes , glacier retreat , species extinctions and increases in the ranges of disease vectors .",include,include,28,4,1,0,5,1,1,,
applications,have,has,"on the other hand , some possible future applications of nanotechnology have the potential to benefit the environment .","on the other hand , some possible future applications of nanotechnology [MASK] the potential to benefit the environment .",has,have,19,3,2,0,11,2,1,,
traditions,protect,protects,the traditions of improvisation and multiple patterning also protect the quilter from anyone copying their quilts .,the traditions of improvisation and multiple patterning also [MASK] the quilter from anyone copying their quilts .,protect,protect,17,7,2,0,8,2,2,,
lines,have,has,electric field lines for this [ tm ] mode have a longitudinal component and require line lengths of a half wavelength or longer .,electric field lines for this [ tm ] mode [MASK] a longitudinal component and require line lengths of a half wavelength or longer .,has,has,24,7,2,0,9,2,1,,
citizens,have,has,in february the citizens of heilbronn and the surrounding area have an opportunity to enjoy themselves at the pferdemarkt .,in february the citizens of heilbronn and the surrounding area [MASK] an opportunity to enjoy themselves at the pferdemarkt .,has,has,20,7,1,1,10,1,1,,
spaces,have,has,the wall spaces on the bay have large windows similar to those on the fellowship hall .,the wall spaces on the bay [MASK] large windows similar to those on the fellowship hall .,have,have,17,4,2,0,6,2,1,,
proteins,serve,serves,proteins such as collagen or fibrin often serve as scaffolds for cell adhesion and cell growth .,proteins such as collagen or fibrin often [MASK] as scaffolds for cell adhesion and cell growth .,serve,serve,17,7,2,0,7,2,2,,
diets,include,includes,diets of this type include ncep step i and ii .,diets of this type [MASK] ncep step i and ii .,include,include,11,4,1,0,4,1,1,,
editors,have,has,"i 'll leave a notification of this discussion on the talk page of the article , so that editors who believe the article should not be used have an opportunity to explain their opinions in greater depth .","i 'll leave a notification of this discussion on the talk page of the article , so that editors who believe the article should not be used [MASK] an opportunity to explain their opinions in greater depth .",have,have,38,9,6,3,27,6,13,,
members,perform,performs,"most members of the orchestra also perform with other leading groups , including the chicago symphony and lyric opera .","most members of the orchestra also [MASK] with other leading groups , including the chicago symphony and lyric opera .",perform,perform,20,5,1,0,6,1,2,,
names,include,includes,"other names in common use include methylglyoxal reductase , and d lactaldehyde dehydrogenase .","other names in common use [MASK] methylglyoxal reductase , and d lactaldehyde dehydrogenase .",include,include,14,4,1,0,5,1,1,,
hits,demonstrate,demonstrates,"google hits , none of which demonstrate any semblance of notability .","google hits , none of which [MASK] any semblance of notability .",demonstrate,demonstrate,12,5,1,1,6,1,3,,
breeds,include,includes,"american horse breeds known to have the silver gene include the morgan , american saddlebred , missouri foxtrotter , tennessee walking horse , and the american quarter horse .","american horse breeds known to have the silver gene [MASK] the morgan , american saddlebred , missouri foxtrotter , tennessee walking horse , and the american quarter horse .",include,include,29,7,2,2,9,2,1,,
apartments,have,has,"typical apartments of the k 7 series have a total area of 30 m2 ( 323 ft2 ) ( 1 room ) , 44 m2 ( 474 ft2 ) ( 2 room ) and 60 m2 ( 646 ft2 ) ( 3 room ) .","typical apartments of the k 7 series [MASK] a total area of 30 m2 ( 323 ft2 ) ( 1 room ) , 44 m2 ( 474 ft2 ) ( 2 room ) and 60 m2 ( 646 ft2 ) ( 3 room ) .",has,have,45,6,1,0,7,1,1,,
ports,do,does,these ports on the mini switch do not themselves provide poe .,these ports on the mini switch [MASK] not themselves provide poe .,do,do,12,5,1,0,6,1,1,,
critics,suggest,suggests,"critics of the practice suggest that the rise of greenwashing , paired with ineffective regulation , contributes to consumer skepticism of all green claims , and diminishes the power of the consumer in driving companies toward greener solutions for manufacturing processes and business operations .","critics of the practice [MASK] that the rise of greenwashing , paired with ineffective regulation , contributes to consumer skepticism of all green claims , and diminishes the power of the consumer in driving companies toward greener solutions for manufacturing processes and business operations .",suggest,suggest,45,4,1,0,4,1,1,,
efficiencies,make,makes,the process efficiencies of the electron beam and the feedstock make the ebf3 process attractive for in space use .,the process efficiencies of the electron beam and the feedstock [MASK] the ebf3 process attractive for in space use .,make,makes,20,8,4,0,10,4,1,,
groups,have,has,"planning the power structure is important , since groups close to the illuminated core have a defense bonus .","planning the power structure is important , since groups close to the illuminated core [MASK] a defense bonus .",have,have,19,6,3,1,14,3,1,,
projects,become,becomes,"many projects in the construction industry become a nightmare because at the very early stages , specifications are made in a wrong way .","many projects in the construction industry [MASK] a nightmare because at the very early stages , specifications are made in a wrong way .",become,become,24,5,2,0,6,2,1,,
motions,tend,tends,"instead of flowing down the gradient , large scale motions in the atmosphere and ocean tend to occur perpendicular to the pressure gradient .","instead of flowing down the gradient , large scale motions in the atmosphere and ocean [MASK] to occur perpendicular to the pressure gradient .",tend,tend,24,6,3,1,15,3,3,,
believers,suggest,suggests,believers in the lunar theory suggest several different mechanisms by which the behaviour of the moon could influence the behaviour of human beings .,believers in the lunar theory [MASK] several different mechanisms by which the behaviour of the moon could influence the behaviour of human beings .,suggest,suggest,24,5,1,0,5,1,1,,
events,become,becomes,"at this point , the events of the sentinels ' saga become unclear , as the retcon comic storyline unveiled in the prelude to the shadow chronicles comic book mini series diverge from the path taken by earlier comics and by the mckinney novels .","at this point , the events of the sentinels ' saga [MASK] unclear , as the retcon comic storyline unveiled in the prelude to the shadow chronicles comic book mini series diverge from the path taken by earlier comics and by the mckinney novels .",become,become,45,6,3,0,11,2,1,,
claims,seem,seems,the claims regarding the best bet diet seem to be based on the ongoing trial involving only 30 patients and this seems to be very small to be generalizable to a broader population .,the claims regarding the best bet diet [MASK] to be based on the ongoing trial involving only 30 patients and this seems to be very small to be generalizable to a broader population .,seem,seem,34,6,2,1,7,2,1,,
members,bear,bears,its members today bear the name grafen bruges von pfuel '' .,its members today [MASK] the name grafen bruges von pfuel '' .,bear,bear,12,2,1,0,3,1,1,,
sources,indicate,indicates,"however , the sources cited by canley as well as in this google news source indicate notability .","however , the sources cited by canley as well as in this google news source [MASK] notability .",indicate,indicate,18,12,3,1,15,3,1,,
albums,band,bands,albums by swedish indie rock band the perishers .,albums by swedish indie rock [MASK] the perishers .,band,band,9,5,1,0,5,1,1,,
places,have,has,several places in the country have wine tasting venues .,several places in the country [MASK] wine tasting venues .,have,have,10,4,1,0,5,1,1,,
claims,appear,appears,"rs , claims of popularity appear to be a hoax .","rs , claims of popularity [MASK] to be a hoax .",appear,appear,11,3,1,0,5,1,1,,
sales,exceed,exceeds,the sales of album exceed 1 .,the sales of album [MASK] 1 .,exceed,exceed,7,3,1,0,4,1,1,,
aspects,include,includes,"the negative aspects of the game , in their view , include the short campaign , predictable enemy a .","the negative aspects of the game , in their view , [MASK] the short campaign , predictable enemy a .",include,include,20,9,2,0,11,2,2,,
methods,include,includes,"listed methods of achieving this goal include the creation , education , and supporting of a community that embodies the philosophy and practice of healing orientated medicine , addressing mind , body and spirit .","listed methods of achieving this goal [MASK] the creation , education , and supporting of a community that embodies the philosophy and practice of healing orientated medicine , addressing mind , body and spirit .",include,include,35,5,1,2,6,1,1,,
numbers,limit,limits,these numbers are likely to continue to drop as aoc wine laws governing its use in the côtes de provence aoc now limit the inclusion of barbaroux to grapes harvested from vines that were planted before 1994 .,these numbers are likely to continue to drop as aoc wine laws governing its use in the côtes de provence aoc now [MASK] the inclusion of barbaroux to grapes harvested from vines that were planted before 1994 .,limit,limit,38,21,3,3,22,2,8,,
points,include,includes,points of interest include remains of the elliptical roman amphitheatre ( 1st century ad ) and the archaeological museum .,points of interest [MASK] remains of the elliptical roman amphitheatre ( 1st century ad ) and the archaeological museum .,include,include,20,3,1,0,3,1,1,,
threats,include,includes,the principal threats to its survival include poaching by hunters for food and fur .,the principal threats to its survival [MASK] poaching by hunters for food and fur .,include,include,15,4,1,0,6,1,1,,
birds,have,has,"birds , for example , have a common orifice , the [ [ cloaca ] ] with which they excrete and reproduce , more 's the pity for them , i suppose .","birds , for example , [MASK] a common orifice , the [ [ cloaca ] ] with which they excrete and reproduce , more 's the pity for them , i suppose .",have,have,33,5,1,0,5,1,2,,
principles,appear,appears,"moreover , broad modern principles of claim preclusion appear to address adequately the concern reflected in the cases cited for the estoppel principle .","moreover , broad modern principles of claim preclusion [MASK] to address adequately the concern reflected in the cases cited for the estoppel principle .",appear,appear,24,4,2,0,8,2,1,,
stations,include,includes,"other power stations in the territory include the mcarthur river power station , the tennant creek power station , the brewer estate power station and the yulara power station .","other power stations in the territory [MASK] the mcarthur river power station , the tennant creek power station , the brewer estate power station and the yulara power station .",include,include,30,4,2,0,6,2,1,,
people,have,has,"in addition to the usual 46 chromosomes , people with emanuel syndrome have an extra ( supernumerary ) chromosome consisting of a piece of chromosome 11 attached to a piece of chromosome 22 .","in addition to the usual 46 chromosomes , people with emanuel syndrome [MASK] an extra ( supernumerary ) chromosome consisting of a piece of chromosome 11 attached to a piece of chromosome 22 .",have,have,34,4,2,0,12,1,11,,
areas,include,includes,"medstar harbor hospital 's areas of specialty include orthopaedics , oncology , women 's services , cardiology , internal medicine and neurosurgery .","medstar harbor hospital 's areas of specialty [MASK] orthopaedics , oncology , women 's services , cardiology , internal medicine and neurosurgery .",include,include,23,3,2,0,7,2,1,,
bands,include,includes,"bands that have played at the venue include lostprophets , muse , opeth , the coral , the hamsters , snow patrol , profane , the ordinary boys , this is bracewell , the seahorses , ash and candid iniquity .","bands that have played at the venue [MASK] lostprophets , muse , opeth , the coral , the hamsters , snow patrol , profane , the ordinary boys , this is bracewell , the seahorses , ash and candid iniquity .",include,include,41,7,1,1,7,1,1,,
patients,have,has,"ohcm ) , patients with the syndrome have an increased risk of developing carcinomas of the pancreas , liver , lungs , breast , ovaries , uterus , testicles and other organs .","ohcm ) , patients with the syndrome [MASK] an increased risk of developing carcinomas of the pancreas , liver , lungs , breast , ovaries , uterus , testicles and other organs .",has,has,33,4,1,0,7,1,1,,
lists,have,has,most featured lists of this type have a coordinates column and made this list the same .,most featured lists of this type [MASK] a coordinates column and made this list the same .,have,have,17,4,1,0,6,1,1,,
poets,include,includes,"other notable slovenian poets of the time include , gregor strniša , dane zajc , tomaž Šalamun , and jože snoj .","other notable slovenian poets of the time [MASK] , gregor strniša , dane zajc , tomaž Šalamun , and jože snoj .",include,include,22,4,1,0,7,1,1,,
examples,include,includes,examples of altered gene expression include that of mirnas .,examples of altered gene expression [MASK] that of mirnas .,include,include,10,5,2,0,5,2,1,,
members,include,includes,"honorary members of the fan club include famous czech writer and musician jaroslav velinský ( kapitán kid ) , whose songs are used in the restoration '' of some ertarian artifacts .","honorary members of the fan club [MASK] famous czech writer and musician jaroslav velinský ( kapitán kid ) , whose songs are used in the restoration '' of some ertarian artifacts .",include,include,32,5,2,0,6,2,1,,
articles,appear,appears,"the scientific articles mentioned in one section appear to be taken from this page of said site , and that they have not been read by the author can be seen by the fact that it simply says that scientific research has investigated it   not any actual results .","the scientific articles mentioned in one section [MASK] to be taken from this page of said site , and that they have not been read by the author can be seen by the fact that it simply says that scientific research has investigated it   not any actual results .",appear,appear,51,5,1,1,7,1,1,,
types,include,includes,"types of forest within the park include mixed deciduous , deciduous , hill evergreen and dry evergreen .","types of forest within the park [MASK] mixed deciduous , deciduous , hill evergreen and dry evergreen .",include,include,18,6,2,0,6,2,1,,
fields,include,includes,"the main fields of research include marine sciences , biodiversity , sustainable management of tropical ecosystems , tropical health care and tourism .","the main fields of research [MASK] marine sciences , biodiversity , sustainable management of tropical ecosystems , tropical health care and tourism .",include,include,23,3,1,0,5,1,1,,
works,appear,appears,the first but scarce works of art appear during this phase .,the first but scarce works of art [MASK] during this phase .,appear,appear,12,3,1,0,7,1,1,,
movements,stand,stands,"political movements rooted in cultural determinism usually stand opposed to political and economic ideologies or consider them of lesser importance than factors such as religion , race , and nationality .","political movements rooted in cultural determinism usually [MASK] opposed to political and economic ideologies or consider them of lesser importance than factors such as religion , race , and nationality .",stands,stand,31,6,1,1,7,1,2,,
entries,make,makes,"diary entries kept by his wife during this period also make it clear that he was appalled by nazi anti semitism , a fact that may shed light on his actual attitude toward the pogroms of the russian civil war .","diary entries kept by his wife during this period also [MASK] it clear that he was appalled by nazi anti semitism , a fact that may shed light on his actual attitude toward the pogroms of the russian civil war .",make,make,41,9,2,1,10,2,2,,
sources,produce,produces,sources low in ash produce the best quality .,sources low in ash [MASK] the best quality .,produce,produce,9,4,1,0,4,1,1,,
chairs,have,has,the chairs around the board table each have a plaque on the back that showed the number of the chair and the names of the current and previous board members who sat there .,the chairs around the board table each [MASK] a plaque on the back that showed the number of the chair and the names of the current and previous board members who sat there .,have,have,34,6,2,0,7,2,2,,
tributaries,include,includes,"tributaries of the shannon drainage basin located in the county include the rivers mulkear , loobagh , maigue , deel and the feale .","tributaries of the shannon drainage basin located in the county [MASK] the rivers mulkear , loobagh , maigue , deel and the feale .",include,include,24,10,3,1,10,3,1,,
interests,include,includes,"her interests other than drawing and art in general include gardening , cooking , and reading .","her interests other than drawing and art in general [MASK] gardening , cooking , and reading .",include,include,17,8,1,1,9,1,3,,
people,exist,exists,he said that his homage had been built because most people living in bangladesh   where nearly half of the population exist below the poverty line   can not afford to travel to india to see the real thing .,he said that his homage had been built because most people living in bangladesh   where nearly half of the population [MASK] below the poverty line   can not afford to travel to india to see the real thing .,exists,exist,42,12,3,3,22,3,1,,
women,make,makes,"elder women in the village still make embroideries on a regular basis , in some cases for their living .","elder women in the village still [MASK] embroideries on a regular basis , in some cases for their living .",make,make,20,5,1,0,6,1,2,,
piles,represent,represents,"individual piles of rice represent various statistics , such as deaths in the holocaust '' or the population of england '' .","individual piles of rice [MASK] various statistics , such as deaths in the holocaust '' or the population of england '' .",represent,represent,22,3,1,0,4,1,1,,
cities,have,has,border cities to macau and hong kong on the mainland china 's side   zhuhai and shenzhen ( respectively ) have their set of e channels for use of the home return permit cards .,border cities to macau and hong kong on the mainland china 's side   zhuhai and shenzhen ( respectively ) [MASK] their set of e channels for use of the home return permit cards .,have,have,36,20,3,0,21,3,9,,
revelations,occur,occurs,"in the novel , the revelations of maria 's adulterous affair including mary 's casual attitude about it , occur through letters ( including from mary to fanny ) ; in the film the affair is carried on at mansfield park in full view of the family .","in the novel , the revelations of maria 's adulterous affair including mary 's casual attitude about it , [MASK] through letters ( including from mary to fanny ) ; in the film the affair is carried on at mansfield park in full view of the family .",occurs,occur,48,14,3,1,19,3,4,,
sources,reach,reaches,"the main sources of desert dust reach the iberian peninsula and the balearic islands in the form of dust transported by wind or rain from the western sahara , atlas mountains in morocco and central algeria .","the main sources of desert dust [MASK] the iberian peninsula and the balearic islands in the form of dust transported by wind or rain from the western sahara , atlas mountains in morocco and central algeria .",reach,reach,37,4,2,0,6,2,1,,
mutations,cause,causes,"mutations in smooth muscle alpha actin ( acta2 ) cause coronary artery disease , stroke , and moyamoya disease , along with thoracic aortic disease .","mutations in smooth muscle alpha actin ( acta2 ) [MASK] coronary artery disease , stroke , and moyamoya disease , along with thoracic aortic disease .",cause,cause,26,9,4,0,9,4,2,,
individuals,create,creates,"when individuals in the workplace create a positive climate , job satisfaction and job performance increase ( wiley and brooks , 2000 ; schneider et al .","when individuals in the workplace [MASK] a positive climate , job satisfaction and job performance increase ( wiley and brooks , 2000 ; schneider et al .",create,create,27,4,1,0,5,1,1,,
materials,require,requires,other materials such as wheat and barley straw require high amounts of pressure to produce heat .,other materials such as wheat and barley straw [MASK] high amounts of pressure to produce heat .,require,require,17,7,3,0,8,3,1,,
requirements,vary,varies,"the requirements as to who is eligible for election as master vary from jurisdiction to jurisdiction , but the majority of jurisdictions specify that a brother must have served as an installed warden to qualify .","the requirements as to who is eligible for election as master [MASK] from jurisdiction to jurisdiction , but the majority of jurisdictions specify that a brother must have served as an installed warden to qualify .",vary,vary,36,10,2,0,11,2,1,,
exhibits,include,includes,"exhibits at the museum include paintings , objects , memorabilia , and trademarks that highlight the development of the sound recording industry .","exhibits at the museum [MASK] paintings , objects , memorabilia , and trademarks that highlight the development of the sound recording industry .",include,include,23,4,1,1,4,1,1,,
calls ,include,includes,"other calls , perhaps in reaction to danger , include gug gug gug , a soft chirp chirp chirp and a loud kwaare kwaare .","other calls , perhaps in reaction to danger , [MASK] gug gug gug , a soft chirp chirp chirp and a loud kwaare kwaare .",include,include,25,8,2,0,9,2,2,,
articles,have,has,our articles on digamma and koppa ( letter ) have some info about typographical variants .,our articles on digamma and koppa ( letter ) [MASK] some info about typographical variants .,have,have,16,8,2,0,9,2,2,,
concerns,remain,remains,"deletion is on the table , as concerns about notability remain .","deletion is on the table , as concerns about notability [MASK] .",remain,remain,12,3,3,0,10,3,1,,
particles,have,has,"all particles within a multiplet , have the same spin , parity , and baryon numbers , but differ in electric charges .","all particles within a multiplet , [MASK] the same spin , parity , and baryon numbers , but differ in electric charges .",have,have,23,5,1,0,6,1,2,,
explanations,exist,exists,"other , more mundane explanations for the origin of the town 's name also exist .","other , more mundane explanations for the origin of the town 's name also [MASK] .",exist,exist,16,10,3,0,14,3,2,,
traces,go,goes,the first traces of settlement go back to the bronze age .,the first traces of settlement [MASK] back to the bronze age .,go,go,12,3,1,0,5,1,1,,
factors,include,includes,factors associated with an increased rate of perinatal infection include membrane rupture of longer than 6 hours before delivery and procedures exposing the infant to maternal blood .,factors associated with an increased rate of perinatal infection [MASK] membrane rupture of longer than 6 hours before delivery and procedures exposing the infant to maternal blood .,include,include,28,9,2,2,9,2,1,,
sources,appear,appears,"i know not from where the unreferenced biographical details come from , but the independent sources cited in the article appear to be about the flight .","i know not from where the unreferenced biographical details come from , but the independent sources cited in the article [MASK] to be about the flight .",appear,appear,27,5,2,3,20,1,1,,
variants,include,includes,"variants of his name include tahupōtiki wiremu rātana , tahu pōtiki wiremu rātana and t .","variants of his name [MASK] tahupōtiki wiremu rātana , tahu pōtiki wiremu rātana and t .",include,include,16,4,1,0,4,1,1,,
wrecks,remain,remains,"many of the wrecks in tasmanian waters have claimed lives , and the waters surrounding the island remain a watery grave for them .","many of the wrecks in tasmanian waters have claimed lives , and the waters surrounding the island [MASK] a watery grave for them .",remains,remains,24,14,4,2,17,1,1,,
documents,go,goes,documents referring to the confidential wurzelpeter recipe go back as far as 1875 .,documents referring to the confidential wurzelpeter recipe [MASK] back as far as 1875 .,go,go,14,7,1,1,7,1,1,,
birds,include,includes,"birds at the park include the red tailed hawk , great horned owl , bald eagle , western bluebird , several sparrow species , and the olive sided flycatcher .","birds at the park [MASK] the red tailed hawk , great horned owl , bald eagle , western bluebird , several sparrow species , and the olive sided flycatcher .",include,include,30,4,1,0,4,1,1,,
appearances,include,includes,film appearances around this time include princess caraboo and paradise road .,film appearances around this time [MASK] princess caraboo and paradise road .,include,include,12,4,2,0,5,2,1,,
states,have,has,"one major legacy that was left behind by medlen happened after his death , the nhra enacted a new safety requirement within the funny car division , that states that the roll bars within the car now have to be padded .","one major legacy that was left behind by medlen happened after his death , the nhra enacted a new safety requirement within the funny car division , that states that the roll bars within the car now [MASK] to be padded .",has,has,42,9,10,4,37,9,13,,
teams,hold,holds,"closing out the event , just a few hours prior to the sec championship game , the teams participating in the game hold pep rallies near the fanfare .","closing out the event , just a few hours prior to the sec championship game , the teams participating in the game [MASK] pep rallies near the fanfare .",hold,hold,29,5,4,2,22,3,8,,
causes,remain,remains,"the exact causes of this resurgence remain unclear ; it is variously ascribed to greater foreign travel , more frequent exchange of second hand furnishings among homes , a greater focus on control of other pests resulting in neglect of bed bug countermeasures , and increasing resistance to pesticides .","the exact causes of this resurgence [MASK] unclear ; it is variously ascribed to greater foreign travel , more frequent exchange of second hand furnishings among homes , a greater focus on control of other pests resulting in neglect of bed bug countermeasures , and increasing resistance to pesticides .",remain,remain,50,4,1,0,6,1,1,,
reasons,include,includes,"reasons for this loss of prestige include the decline of the hanseatic league , followed by political heteronomy of northern germany and the cultural predominance of middle and southern germany during the protestant reformation and luther 's german translation of the bible .","reasons for this loss of prestige [MASK] the decline of the hanseatic league , followed by political heteronomy of northern germany and the cultural predominance of middle and southern germany during the protestant reformation and luther 's german translation of the bible .",include,include,43,6,2,0,6,2,1,,
