nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,number
structures,include,includes,"prominent structures in the esplanade region include the madras high court ( built in 1892 ) , the general post office , state bank of india building , metropolitan magistrate courts , ymca building , and the law college .","prominent structures in the esplanade region [MASK] the madras high court ( built in 1892 ) , the general post office , state bank of india building , metropolitan magistrate courts , ymca building , and the law college .",include,include,40,5,2,0,6,2,1,,pl
factors,include,includes,other factors in the decline of abortion in russia include the legalization of sterilization .,other factors in the decline of abortion in russia [MASK] the legalization of sterilization .,include,include,15,8,2,0,9,2,3,,pl
poems,have,has,"hagen , the poems in this section have more bite and express the experience of being black in a white  dominated world .","hagen , the poems in this section [MASK] more bite and express the experience of being black in a white  dominated world .",have,have,24,4,1,0,7,1,1,,pl
sources,seem,seems,the sources from this book seem to include a lot of good material that is verifiable .,the sources from this book [MASK] to include a lot of good material that is verifiable .,seem,seem,17,4,1,0,5,1,1,,pl
comments,reflect,reflects,"he may be a wonderful vandal fighter , but i think the comments about this matter at the talk page reflect a clear misunderstanding of practice , here .","he may be a wonderful vandal fighter , but i think the comments about this matter at the talk page [MASK] a clear misunderstanding of practice , here .",reflect,reflect,29,8,5,1,20,5,1,,pl
illustrations,show,shows,illustrations by the renaissance scientist georgius agricola show gear trains with cylindrical teeth .,illustrations by the renaissance scientist georgius agricola [MASK] gear trains with cylindrical teeth .,show,show,14,7,0,0,7,0,none,,pl
personalities,include,includes,"historical personalities of this village include sikh warriors , sangat singh ji , uday singh ji , and bachiter singh ji ; all served in the tenth sikh guru , gobind singh ji 's army .","historical personalities of this village [MASK] sikh warriors , sangat singh ji , uday singh ji , and bachiter singh ji ; all served in the tenth sikh guru , gobind singh ji 's army .",include,include,36,4,1,0,5,1,1,,pl
students,attend,attends,"students living in the southwestern portion of harborcreek township , generally south of buffalo road and west of clark road , attend this school .","students living in the southwestern portion of harborcreek township , generally south of buffalo road and west of clark road , [MASK] this school .",attend,attend,25,21,4,1,21,4,5,,pl
achievements,include,includes,"notable achievements during her tenure include the initiation of the volen center for complex systems , the strengthening of life sciences at brandeis , admission to the american association of universities , a prestigious group of american research universities , and founding membership in the university athletic association .","notable achievements during her tenure [MASK] the initiation of the volen center for complex systems , the strengthening of life sciences at brandeis , admission to the american association of universities , a prestigious group of american research universities , and founding membership in the university athletic association .",include,include,49,4,1,0,5,1,1,,pl
proponents,hold,holds,"proponents of this view hold that blessed , divinely inspired christian organizations will always be criticized , just as jesus was criticized by his contemporaries .","proponents of this view [MASK] that blessed , divinely inspired christian organizations will always be criticized , just as jesus was criticized by his contemporaries .",hold,hold,26,4,1,0,4,1,1,,pl
members,include,includes,other members of this group include castor and vega .,other members of this group [MASK] castor and vega .,include,include,10,4,1,0,5,1,1,,pl
grapes,include,includes,"the principle grapes of the pico region include arinto , terrantez and verdelho .","the principle grapes of the pico region [MASK] arinto , terrantez and verdelho .",includes,includes,14,5,2,0,7,2,1,,pl
hits,appear,appears,"only 25 google hits , none appear to be significant .","only 25 google hits , none [MASK] to be significant .",appear,appear,11,3,2,0,6,2,1,,pl
elements,have,has,"other elements , such as the celebration by a ritual meal of bread and wine , also have parallels .","other elements , such as the celebration by a ritual meal of bread and wine , also [MASK] parallels .",have,have,20,16,4,0,17,4,3,,pl
swimmers,include,includes,"american swimmers who have been classified by the united states paralympic committee as being in this class include fred amaya , cheryl angelelli , joe mccarthy and joel parks .","american swimmers who have been classified by the united states paralympic committee as being in this class [MASK] fred amaya , cheryl angelelli , joe mccarthy and joel parks .",include,include,30,16,1,1,17,1,1,,pl
editors,have,has,i will see that the main editors of this page have it saved as a draft for future reference for the time being .,i will see that the main editors of this page [MASK] it saved as a draft for future reference for the time being .,have,have,24,4,1,1,10,1,1,,pl
members,include,includes,"other members of the regular cast include andrew laing as dss laurie mackenzie , calvin tuteao as diamond jim shepherd , damien avery as det .","other members of the regular cast [MASK] andrew laing as dss laurie mackenzie , calvin tuteao as diamond jim shepherd , damien avery as det .",include,include,26,5,1,0,6,1,1,,pl
works,include,includes,"other works of french erotica from this period include thérèse philosophe ( 1748 ) by jean  baptiste de boyer , marquis d'argens which describes a girl 's initiation into the secrets of both philosophy and sex .","other works of french erotica from this period [MASK] thérèse philosophe ( 1748 ) by jean  baptiste de boyer , marquis d'argens which describes a girl 's initiation into the secrets of both philosophy and sex .",include,includes,38,7,2,0,8,2,1,,pl
cities,include,includes,"cities in the metropolitan area include las vegas , henderson , north las vegas , and boulder city .","cities in the metropolitan area [MASK] las vegas , henderson , north las vegas , and boulder city .",include,include,19,5,1,0,5,1,1,,pl
proteins,have,has,"almost all proteins that are destined to the secretory pathway have a sequence consisting of 5  30 hydrophobic amino acids on the n  terminus , which is commonly referred to as the signal peptide , signal sequence or leader peptide .","almost all proteins that are destined to the secretory pathway [MASK] a sequence consisting of 5  30 hydrophobic amino acids on the n  terminus , which is commonly referred to as the signal peptide , signal sequence or leader peptide .",has,has,43,8,2,1,10,2,1,,pl
events,start,starts,the events of the sega mega drive strategy game the hybrid front start during this decade .,the events of the sega mega drive strategy game the hybrid front [MASK] during this decade .,start,start,17,11,3,0,12,3,1,,pl
variations,include,includes,variations of the show include storybook squares and hip hop squares .,variations of the show [MASK] storybook squares and hip hop squares .,include,include,12,4,1,0,4,1,1,,pl
effects,include,includes,positive effects of being a latchkey child include independence and self  reliance at a young age .,positive effects of being a latchkey child [MASK] independence and self  reliance at a young age .,include,include,18,6,1,0,7,1,1,,pl
churches,include,includes,"churches on the drive include mokuaikaua church , hawai i 's first christian church built in 1820 , and saint michael the archangel catholic church .","churches on the drive [MASK] mokuaikaua church , hawai i 's first christian church built in 1820 , and saint michael the archangel catholic church .",include,include,26,4,1,0,4,1,1,,pl
leaders,include,includes,"the leaders of this new organization include elizabeth cady stanton , susan b .","the leaders of this new organization [MASK] elizabeth cady stanton , susan b .",include,include,14,5,1,0,6,1,1,,pl
books,include,includes,"his books of poetry include complete physical , meniscus and exterminate my heart .","his books of poetry [MASK] complete physical , meniscus and exterminate my heart .",include,include,14,3,1,0,4,1,1,,pl
members,serve,serves,all members of the executive and legislative branch serve two  year terms including the governor and senators .,all members of the executive and legislative branch [MASK] two  year terms including the governor and senators .,serve,serve,19,7,1,0,8,1,1,,pl
names,include,includes,"the former names of the street include budagovskaya , kaspiyskaya , lieutenant schmidt .","the former names of the street [MASK] budagovskaya , kaspiyskaya , lieutenant schmidt .",include,include,14,4,1,0,6,1,1,,pl
media,seem,seems,"most of the media coverage is trivial , but traffic reports and subculture discussion in the adbuster article seem to clearly establish notability .","most of the media coverage is trivial , but traffic reports and subculture discussion in the adbuster article [MASK] to clearly establish notability .",seem,seems,24,15,5,0,18,4,1,,pl
cases,have,has,"in such cases , it is said that the parasites in combination have a synergistic effect .","in such cases , it is said that the parasites in combination [MASK] a synergistic effect .",have,has,17,10,2,1,12,1,1,,pl
spellings,include,includes,"many alternative spellings of her name include iusaaset , juesaes , ausaas , and jusas , as well as in greek saosis .","many alternative spellings of her name [MASK] iusaaset , juesaes , ausaas , and jusas , as well as in greek saosis .",include,include,23,4,1,0,6,1,1,,pl
politicians,have,has,"the baltic war ) , the politicians opposing the republic of the united states of europe and democracy of the state of thuringia  franconia have no concept of the attack unleashed via the popular psyche .","the baltic war ) , the politicians opposing the republic of the united states of europe and democracy of the state of thuringia  franconia [MASK] no concept of the attack unleashed via the popular psyche .",has,have,37,19,2,1,25,2,5,,pl
landmarks,include,includes,"notable landmarks in the city include the 12th  century domus municipalis ( portugal 's oldest and largest town hall ) , the renaissance cathedral , and the old town walls , which are still well preserved and look down on the river and the modern city .","notable landmarks in the city [MASK] the 12th  century domus municipalis ( portugal 's oldest and largest town hall ) , the renaissance cathedral , and the old town walls , which are still well preserved and look down on the river and the modern city .",include,include,48,4,1,0,5,1,1,,pl
options,have,has,"in addition to the basic formatting options offered to all users , contributors who have reached a certain level of popularity have also the ability to link to other websites and even embed youtube videos in their articles .","in addition to the basic formatting options offered to all users , contributors who have reached a certain level of popularity [MASK] also the ability to link to other websites and even embed youtube videos in their articles .",has,have,39,15,5,3,21,3,1,,pl
criteria,include,includes,"featured article criteria mentioned in the review section include prose , referencing and structure .","featured article criteria mentioned in the review section [MASK] prose , referencing and structure .",include,include,15,6,3,2,8,3,1,,pl
vendors,allow,allows,"most vendors in the market allow haggling , and many articles can be found at discounted prices .","most vendors in the market [MASK] haggling , and many articles can be found at discounted prices .",allow,allow,18,4,1,0,5,1,1,,pl
officials,carry,carries,all officials and constableswill carry out the orders strictly and diligently .,all officials and constableswill [MASK] out the orders strictly and diligently .,carry,carries,12,3,1,0,4,1,1,,pl
details,suggest,suggests,the details of the accident suggest that she may have committed suicide .,the details of the accident [MASK] that she may have committed suicide .,suggest,suggest,13,4,1,0,5,1,1,,pl
students,go,goes,"the judicial branch manages the school court , where the students who violated the school regulation go every thursday .","the judicial branch manages the school court , where the students who violated the school regulation [MASK] every thursday .",go,go,20,6,5,2,16,5,1,,pl
changes,occur,occurs,"changes in hair color typically occur naturally as people age , eventually turning the hair gray and then white .","changes in hair color typically [MASK] naturally as people age , eventually turning the hair gray and then white .",occur,occur,20,5,2,0,5,2,2,,pl
features,include,includes,"other key features of the game include skydiving , base jumping , and parasailing ( by latching onto a moving car or boat while one 's parachute is deployed ) .","other key features of the game [MASK] skydiving , base jumping , and parasailing ( by latching onto a moving car or boat while one 's parachute is deployed ) .",include,include,31,4,1,0,6,1,1,,pl
members,refer,refers,"the other members of the squad affectionately refer to bolander as the big man , a name also used by worden 's colleagues to refer to him in the book .","the other members of the squad affectionately [MASK] to bolander as the big man , a name also used by worden 's colleagues to refer to him in the book .",refer,refer,31,5,1,0,7,1,2,,pl
players,include,includes,"players leaving the club at the end of the season include brett hodgson , ryan o'hara , ben te'o and stuart flanagan .","players leaving the club at the end of the season [MASK] brett hodgson , ryan o'hara , ben te'o and stuart flanagan .",include,include,23,10,3,1,10,3,1,,pl
people,show,shows,thinus  blanc and gaunet ( 1997 ) suggest that people who are blind early in life show a limited ability in the area of spatial representation .,thinus  blanc and gaunet ( 1997 ) suggest that people who are blind early in life [MASK] a limited ability in the area of spatial representation .,show,show,28,7,2,2,17,2,1,,pl
plants,include,includes,"other plants in the habitat include kauila , maile , ahakea lau lii , akoko , laukea , uki uki , uluhe , aalii , manono , pukiawe , uahiapele , kolea , olopua , and alaa .","other plants in the habitat [MASK] kauila , maile , ahakea lau lii , akoko , laukea , uki uki , uluhe , aalii , manono , pukiawe , uahiapele , kolea , olopua , and alaa .",include,include,38,4,1,0,5,1,1,,pl
pages,include,includes,"the last pages of the book include character designs , couch gags homer 's d'oh !","the last pages of the book [MASK] character designs , couch gags homer 's d'oh !",include,include,16,4,1,0,6,1,1,,pl
stances,include,includes,other socially conservative stances of the party include voting to ban designer drugs and amending the penal code to introduce mandatory chemical castration of pedophiles .,other socially conservative stances of the party [MASK] voting to ban designer drugs and amending the penal code to introduce mandatory chemical castration of pedophiles .,includes,include,26,4,1,0,7,1,1,,pl
pieces,provide,provides,"the two significant pieces of land , sand island and eastern island , provide habitat for millions of seabirds .","the two significant pieces of land , sand island and eastern island , [MASK] habitat for millions of seabirds .",provide,provide,20,10,4,0,13,4,5,,pl
variations,use,uses,"many variations of huffman coding exist , some of which use a huffman  like algorithm , and others of which find optimal prefix codes ( while , for example , putting different restrictions on the output ) .","many variations of huffman coding exist , some of which [MASK] a huffman  like algorithm , and others of which find optimal prefix codes ( while , for example , putting different restrictions on the output ) .",use,uses,39,9,1,1,10,1,6,,pl
people,refer,refers,richardmccoy is right that people in the field sometimes refer to themselves as conservator  restorers but the hyphenated conservation  restoration is far less common .,richardmccoy is right that people in the field sometimes [MASK] to themselves as conservator  restorers but the hyphenated conservation  restoration is far less common .,refers,refer,27,5,2,0,9,2,2,,pl
articles,seem,seems,"many articles related to collegiate a cappella seem to be in similar states of semi  notability ( particularly in the case of other yale a cappella groups , with the major exception being the whiffenpoofs ) .","many articles related to collegiate a cappella [MASK] to be in similar states of semi  notability ( particularly in the case of other yale a cappella groups , with the major exception being the whiffenpoofs ) .",seem,seem,38,6,1,2,7,1,1,,pl
colleges,offer,offers,iowa state 's eight colleges today offer more than 100 undergraduate majors and 200 fields of study leading to graduate and professional degrees .,iowa state 's eight colleges today [MASK] more than 100 undergraduate majors and 200 fields of study leading to graduate and professional degrees .,offer,offer,24,2,1,0,6,1,1,,pl
forms,include,includes,"other forms of interaction include , crawling under , which is literally the act of crawling underneath one another , walking over , also explained in the name , then there is allo  grooming , so  called to distinguish it from self  grooming .","other forms of interaction [MASK] , crawling under , which is literally the act of crawling underneath one another , walking over , also explained in the name , then there is allo  grooming , so  called to distinguish it from self  grooming .",include,include,47,3,1,0,4,1,1,,pl
awards,include,includes,"awards he received during his career include the legion of merit , the meritorious service medal with four oak leaf clusters , the air force commendation medal , the outstanding unit award with three oak leaf clusters and the national defense service medal with service star .","awards he received during his career [MASK] the legion of merit , the meritorious service medal with four oak leaf clusters , the air force commendation medal , the outstanding unit award with three oak leaf clusters and the national defense service medal with service star .",include,include,47,6,1,1,6,1,1,,pl
intersections,include,includes,"major intersections along this stretch include marbach road , fm 1957 ( potranco road ) and wiseman boulevard .","major intersections along this stretch [MASK] marbach road , fm 1957 ( potranco road ) and wiseman boulevard .",include,include,19,4,1,0,5,1,1,,pl
representatives,have,has,"so in 1995 the anglican church in jerusalem readvised the college , that representatives of jerusalem 's evangelical congregation have right of free access to the cemetery at any time .","so in 1995 the anglican church in jerusalem readvised the college , that representatives of jerusalem 's evangelical congregation [MASK] right of free access to the cemetery at any time .",have,has,31,6,3,1,19,3,1,,pl
secretions,have,has,the skin secretions of the frog have antibacterial and antiviral properties that may prove useful in pharmaceutical preparations .,the skin secretions of the frog [MASK] antibacterial and antiviral properties that may prove useful in pharmaceutical preparations .,has,have,19,4,2,0,6,2,1,,pl
stars,include,includes,"other stars who dyed their hair for the movie include josh hutcherson as peeta , and liam hemsworth as gale .","other stars who dyed their hair for the movie [MASK] josh hutcherson as peeta , and liam hemsworth as gale .",include,include,21,8,2,1,9,2,1,,pl
people,include,includes,"people profiled in the book include ted kennedy , nancy pelosi , bill and hillary clinton , ralph nader , al franken , cornel west , michael moore , george soros , noam chomsky , barbra streisand and gloria steinem .","people profiled in the book [MASK] ted kennedy , nancy pelosi , bill and hillary clinton , ralph nader , al franken , cornel west , michael moore , george soros , noam chomsky , barbra streisand and gloria steinem .",include,include,41,5,1,1,5,1,1,,pl
companies,include,includes,companies based in the district include an giang coffee ltd .,companies based in the district [MASK] an giang coffee ltd .,include,include,11,5,1,1,5,1,1,,pl
mills,exist,exists,"at one point , three different lumber mills operated in the town , though none exist today .","at one point , three different lumber mills operated in the town , though none [MASK] today .",exist,exist,18,8,4,1,15,4,1,,pl
kinds,appear,appears,"two kinds of red light , for example , that appear identical when reflected off of a white piece of paper , can appear quite different when reflected off of different colored surfaces .","two kinds of red light , for example , that [MASK] identical when reflected off of a white piece of paper , can appear quite different when reflected off of different colored surfaces .",appear,appear,34,9,2,0,10,2,3,,pl
examples,require,requires,"most examples of ascii art require a fixed  width font ( non  proportional fonts , as on a traditional typewriter ) such as courier for presentation .","most examples of ascii art [MASK] a fixed  width font ( non  proportional fonts , as on a traditional typewriter ) such as courier for presentation .",requires,requires,29,4,2,0,5,2,1,,pl
versions,appear,appears,"two different versions of the character appear in two separate ( but related ) continuities , squadron supreme and supreme power .","two different versions of the character [MASK] in two separate ( but related ) continuities , squadron supreme and supreme power .",appear,appear,22,4,1,0,6,1,1,,pl
years,have,has,but the fact that a certain name can be traced back two or three thousand years back in history does not necessarily mean that all people bearing this same surname today have anything more in common than their surname .,but the fact that a certain name can be traced back two or three thousand years back in history does not necessarily mean that all people bearing this same surname today [MASK] anything more in common than their surname .,have,have,40,16,6,3,31,6,1,,pl
names,appear,appears,the place names in question appear to be in a language related to japanese .,the place names in question [MASK] to be in a language related to japanese .,appear,appear,15,3,2,0,5,2,1,,pl
vestiges,stand,stands,"vestiges of this period can be found in mudbhatkal , where a few temples of that era still stand .","vestiges of this period can be found in mudbhatkal , where a few temples of that era still [MASK] .",stands,stands,20,18,4,1,18,3,2,,pl
letters,represent,represents,the first 2 of 3 letters ( which are listed below ) of a licence plate usually represent the prefecture ( nomos ) where the car was registered .,the first 2 of 3 letters ( which are listed below ) of a licence plate usually [MASK] the prefecture ( nomos ) where the car was registered .,represents,represent,29,12,2,1,17,2,2,,pl
performers,include,includes,past performers on the beer garden stage include jim bryson and amanda rheaume .,past performers on the beer garden stage [MASK] jim bryson and amanda rheaume .,include,include,14,6,3,0,7,3,1,,pl
structures,show,shows,"protein structures from nmr spectroscopy also show helices well , with characteristic observations of noe ( nuclear overhauser effect ) couplings between atoms on adjacent helical turns .","protein structures from nmr spectroscopy also [MASK] helices well , with characteristic observations of noe ( nuclear overhauser effect ) couplings between atoms on adjacent helical turns .",show,show,28,5,2,0,6,2,2,,pl
bays,include,includes,"other bays in the area include dampier bay , stuart bay , shamrock bay , and half moon bay .","other bays in the area [MASK] dampier bay , stuart bay , shamrock bay , and half moon bay .",include,include,20,4,1,0,5,1,1,,pl
axles,carry,carries,"the hollow axles , made from a chrome  molybdenum alloy , carry the massive wheels and the wheel set bearings at each end .","the hollow axles , made from a chrome  molybdenum alloy , [MASK] the massive wheels and the wheel set bearings at each end .",carry,carry,25,10,3,1,12,3,2,,pl
halls,include,includes,"the original halls of residence include ashton , hastings hall , flemmings , boston , beacon , mavis davis and deepdene ( off  campus ) .","the original halls of residence [MASK] ashton , hastings hall , flemmings , boston , beacon , mavis davis and deepdene ( off  campus ) .",include,include,27,3,1,0,5,1,1,,pl
diseases,include,includes,"other mental diseases that also exhibit impulse control disorder include such mental disorders as antisocial personality disorder , or schizophrenia .","other mental diseases that also exhibit impulse control disorder [MASK] such mental disorders as antisocial personality disorder , or schizophrenia .",include,include,21,7,2,1,9,2,1,,pl
features,include,includes,"features of the evolving hawaiian regional style of the era include numerous lanai and open spaces , double  pitched hipped roof ( dickey roof ) , and lushly landscaped grounds .","features of the evolving hawaiian regional style of the era [MASK] numerous lanai and open spaces , double  pitched hipped roof ( dickey roof ) , and lushly landscaped grounds .",include,include,32,10,2,1,10,2,1,,pl
factors,include,includes,political factors that affect the response include inattention to or a lack of concern about hiv and incomplete or slow information flow .,political factors that affect the response [MASK] inattention to or a lack of concern about hiv and incomplete or slow information flow .,include,include,23,5,1,1,6,1,1,,pl
engineers,have,has,engineers committing a stop signal violation automatically have their federal certification suspended and are frequently fired .,engineers committing a stop signal violation automatically [MASK] their federal certification suspended and are frequently fired .,have,have,17,7,3,1,7,3,2,,pl
worlds,exist,exists,"eventually the flanged t rail became commonplace on all the worlds railways , though differences in the fixing system still exist .","eventually the flanged t rail became commonplace on all the worlds railways , though differences in the fixing system still [MASK] .",exists,exist,22,10,5,1,20,3,2,,pl
demos,appear,appears,"earlier demos of the song appear on the bands youtube channel , these versions were never recorded just performed in brief videos .","earlier demos of the song [MASK] on the bands youtube channel , these versions were never recorded just performed in brief videos .",appear,appear,23,4,1,0,5,1,1,,pl
businesses,include,includes,"in the united states , businesses that are government owned include amtrak and the united states postal service .","in the united states , businesses that are government owned [MASK] amtrak and the united states postal service .",include,include,19,5,1,1,10,1,2,,pl
holdings,include,includes,"international holdings of martin 's work include the tate , london and magasin 3 stockholm konsthall , stockholm , sweden .","international holdings of martin 's work [MASK] the tate , london and magasin 3 stockholm konsthall , stockholm , sweden .",include,include,21,5,1,0,6,1,1,,pl
flowers,appear,appears,the orchid  like flowers with a long floral tube appear to be an adaptation for pollination by long  tongued insects specializing in this type of flower .,the orchid  like flowers with a long floral tube [MASK] to be an adaptation for pollination by long  tongued insects specializing in this type of flower .,appear,appears,29,6,2,0,10,2,1,,pl
stars,include,includes,other stars in the film include fred ward and val kilmer .,other stars in the film [MASK] fred ward and val kilmer .,include,include,12,4,1,0,5,1,1,,pl
editors,want,wants,"as if the editors , judging from the below want to say just one word about mr .","as if the editors , judging from the below [MASK] to say just one word about mr .",want,want,18,6,0,1,9,0,none,,pl
distributions,have,has,"certain pathological distributions ( for example , the cantor distribution ) have no defined mode at all .","certain pathological distributions ( for example , the cantor distribution ) [MASK] no defined mode at all .",has,has,18,9,3,0,11,3,2,,pl
photons,have,has,generation of an e  h pair requires that the photons of light have energy exceeding the bandgap of the material .,generation of an e  h pair requires that the photons of light [MASK] energy exceeding the bandgap of the material .,have,have,22,3,4,1,13,4,1,,pl
contents,seem,seems,"the article title seems reasonable enough , but the contents of this newly created article seem highly dubious to me .","the article title seems reasonable enough , but the contents of this newly created article [MASK] highly dubious to me .",seem,seem,21,6,3,2,15,3,14,,pl
versions,do,does,"the fox faith film versions of the loves comes softly series , which aired on the hallmark channel , do not completely follow the books .","the fox faith film versions of the loves comes softly series , which aired on the hallmark channel , [MASK] not completely follow the books .",do,do,26,15,6,2,19,5,2,,pl
areas,include,includes,new areas of research include early warnings of regime shifts and new forms of modeling .,new areas of research [MASK] early warnings of regime shifts and new forms of modeling .,include,include,16,3,1,0,4,1,1,,pl
patients,have,has,patients with the diagnosis of afp have no identifiable underlying physical cause for the pain .,patients with the diagnosis of afp [MASK] no identifiable underlying physical cause for the pain .,has,has,16,6,2,0,6,2,1,,pl
citizens,make,makes,singaporean citizens of indonesian descent make the bulk of the malay population in singapore .,singaporean citizens of indonesian descent [MASK] the bulk of the malay population in singapore .,make,make,15,4,1,0,5,1,1,,pl
studies,have,has,studies have also shown that patients with severe facial blushing or hyperhidrosis commonly have family members with one or both of the related disorders .,studies have also shown that patients with severe facial blushing or hyperhidrosis commonly [MASK] family members with one or both of the related disorders .,has,have,25,13,3,1,13,2,2,,pl
genomes,contain,contains,"however , the genomes of many organism contain endogenous viral elements ( eves ) .","however , the genomes of many organism [MASK] endogenous viral elements ( eves ) .",contains,contain,15,4,1,0,7,1,1,,pl
instances,become,becomes,"as unmanned , long  range combat evolves , the instances of basic overland invasion become fewer ; often the conventional fighting is effectively over before the infantry arrives in the role of peacekeepers ( see applications regarding non  state combatants in this article ) .","as unmanned , long  range combat evolves , the instances of basic overland invasion [MASK] fewer ; often the conventional fighting is effectively over before the infantry arrives in the role of peacekeepers ( see applications regarding non  state combatants in this article ) .",becomes,become,47,5,3,1,15,3,1,,pl
events,include,includes,"major events in the enduro calendar include the world enduro championship ( wec ) , the international six days enduro ( isde ) and several national championships .","major events in the enduro calendar [MASK] the world enduro championship ( wec ) , the international six days enduro ( isde ) and several national championships .",include,include,28,5,1,0,6,1,1,,pl
campuses,include,includes,campuses serving the community include stanton elementary school ( preschool  grade 8 ) and edison high school [ 1 ] ( grades 9  12 ) .,campuses serving the community [MASK] stanton elementary school ( preschool  grade 8 ) and edison high school [ 1 ] ( grades 9  12 ) .,include,include,28,4,1,1,4,1,1,,pl
artifacts,include,includes,"the artifacts within this tomb include painted and carved bones , mosaics , jade , mirrors , snake  like figurines , and ceramic figurines .","the artifacts within this tomb [MASK] painted and carved bones , mosaics , jade , mirrors , snake  like figurines , and ceramic figurines .",include,include,26,4,1,0,5,1,1,,pl
characters,have,has,"most of the characters in rainbow are american or british , though the nato countries of france , germany , italy , spain , canada , and the nato ally of israel have at least one representative each .","most of the characters in rainbow are american or british , though the nato countries of france , germany , italy , spain , canada , and the nato ally of israel [MASK] at least one representative each .",have,have,39,29,3,0,32,2,3,,pl
characters,include,includes,"other colourful characters that abound in the household include johnny 's anorexic daughter , two of johnny 's wives ; political refugees as well as a newly  arrived young black boy franklin , from zimlia , africa .","other colourful characters that abound in the household [MASK] johnny 's anorexic daughter , two of johnny 's wives ; political refugees as well as a newly  arrived young black boy franklin , from zimlia , africa .",includes,include,39,6,1,1,8,1,1,,pl
things,come,comes,"the hurtful things are not his own work , they come in the main from daniel brandt , who in turn picked them up form some conspiracy theorist somewhere .","the hurtful things are not his own work , they [MASK] in the main from daniel brandt , who in turn picked them up form some conspiracy theorist somewhere .",come,come,30,8,1,0,10,1,3,,pl
examples,include,includes,"familiar examples of ovoviviparous fish include guppies , angel sharks , and coelacanths .","familiar examples of ovoviviparous fish [MASK] guppies , angel sharks , and coelacanths .",includes,include,14,4,1,0,5,1,1,,pl
factors,include,includes,"factors influencing the price include the days remaining until departure , the booked load factor , the forecast of total demand by price point , competitive pricing in force , and variations by day of week of departure and by time of day .","factors influencing the price [MASK] the days remaining until departure , the booked load factor , the forecast of total demand by price point , competitive pricing in force , and variations by day of week of departure and by time of day .",include,include,44,4,1,1,4,1,1,,pl
psychologists,do,does,most clinical psychologists who engage in research and teaching do so within a college or university setting .,most clinical psychologists who engage in research and teaching [MASK] so within a college or university setting .,do,do,18,7,2,1,9,2,1,,pl
launchers,offer,offers,"the java application launchers , java and javaw offer a standard way of executing java code , with or without a console window respectively .","the java application launchers , java and javaw [MASK] a standard way of executing java code , with or without a console window respectively .",offer,offer,25,5,4,0,8,4,1,,pl
composers,include,includes,"croatian composers for the tamburica include franjo ksaver kuhač , siniša leopold and julije njikoš .","croatian composers for the tamburica [MASK] franjo ksaver kuhač , siniša leopold and julije njikoš .",include,include,16,4,0,0,5,0,none,,pl
techniques,show,shows,"techniques such as artificial intelligence and machine translation show a shift to linguistic and symbolic production as central elements of the postindustrial economy and the related postmodern culture , which had risen at the end of the 1950s after the reconstruction of western europe .","techniques such as artificial intelligence and machine translation [MASK] a shift to linguistic and symbolic production as central elements of the postindustrial economy and the related postmodern culture , which had risen at the end of the 1950s after the reconstruction of western europe .",show,show,45,8,3,0,8,3,1,,pl
elements,find,finds,elements of catholic mysticism ( particularly on the track our lady of palermo ) find an uneasy place beside them .,elements of catholic mysticism ( particularly on the track our lady of palermo ) [MASK] an uneasy place beside them .,find,find,21,14,3,0,14,3,4,,pl
sources,indicate,indicates,confidential sources inside the company indicate that bonds may soon step down from his position .,confidential sources inside the company [MASK] that bonds may soon step down from his position .,indicate,indicate,16,4,1,0,5,1,1,,pl
sections,remain,remains,"large sections of the park remain in disrepair , but the downward decline has been checked .","large sections of the park [MASK] in disrepair , but the downward decline has been checked .",remain,remain,17,4,1,0,5,1,1,,pl
theories,seem,seems,"i believe the article to be neutral ; no far  flung theories of relativity seem to be here , but willow can speak to that better than i can .","i believe the article to be neutral ; no far  flung theories of relativity [MASK] to be here , but willow can speak to that better than i can .",seem,seem,31,3,2,2,15,2,1,,pl
junctions,include,includes,the major junctions along the route include the western ring road and the newly  completed deer park bypass .,the major junctions along the route [MASK] the western ring road and the newly  completed deer park bypass .,include,include,20,4,1,0,6,1,1,,pl
people,have,has,"most people with depression have neither of these , but some experience in between .","most people with depression [MASK] neither of these , but some experience in between .",have,have,15,3,1,0,4,1,1,,pl
aspects,make,makes,historical and cultural aspects of the term make it deserving of an article .,historical and cultural aspects of the term [MASK] it deserving of an article .,make,make,14,4,1,0,7,1,1,,pl
studies,look,looks,"furthermore , studies of gay male language use often look at middle class european americans who are out as gay to the exclusion of other subgroups of the gay community , and hence may draw misleading conclusions about the community as a whole .","furthermore , studies of gay male language use often [MASK] at middle class european americans who are out as gay to the exclusion of other subgroups of the gay community , and hence may draw misleading conclusions about the community as a whole .",look,look,44,7,2,0,9,2,2,,pl
grapes,include,includes,"the principle grapes of the cova da beira region include arinto , assario branco , jaen , marufo , periquita , perola , rabo de ovelha , rufete and tinta amarela .","the principle grapes of the cova da beira region [MASK] arinto , assario branco , jaen , marufo , periquita , perola , rabo de ovelha , rufete and tinta amarela .",include,include,32,7,0,0,9,0,none,,pl
