nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
consequence,was,were,"A further consequence of this large addition of granite to the core of the mountain masses was the transmission of compressive stresses to the east where the Eastern Cordillera were folded and uplifted
","A further consequence of this large addition of granite to the core of the mountain masses [MASK] the transmission of compressive stresses to the east where the Eastern Cordillera were folded and uplifted
",was,was,33,14,5,0,16,1,1,,sg
sequence,is,are,"The sequence of uplift rifting and continental rupture which leads to the formation of passive continental margins is of considerable importance in any attempt to understand the large-scale geomorphology of the present-day continents
","The sequence of uplift rifting and continental rupture which leads to the formation of passive continental margins [MASK] of considerable importance in any attempt to understand the large-scale geomorphology of the present-day continents
",are,are,33,16,4,2,17,1,1,,sg
factor,is,are,"An important factor in the mode of landscape development on granite batholiths once they are sub-aerially exposed is the joint structure that they form
","An important factor in the mode of landscape development on granite batholiths once they are sub-aerially exposed [MASK] the joint structure that they form
",is,is,24,15,5,1,17,1,6,,sg
mechanism,is,are,"A further hydration weathering mechanism restricted to environments in which freezing occurs is hydration shattering
","A further hydration weathering mechanism restricted to environments in which freezing occurs [MASK] hydration shattering
",is,is,15,8,3,3,12,1,5,,sg
unemployment,is,are,"Any unemployment which remains once this state of overall labour market balance has been achieved is frictional and structural in origin and is by definition invariant with respect to the level of aggregate demand
","Any unemployment which remains once this state of overall labour market balance has been achieved [MASK] frictional and structural in origin and is by definition invariant with respect to the level of aggregate demand
",is,is,34,14,4,2,15,0,none,,sg
variable,is,are,"The only variable that they can revise directly in either an upward and a downward direction is the money wage rate but revisions of the money wage rate will have no direct effect on the real wage rate owing to the sympathetic variations in the general level of prices that they would provoke
","The only variable that they can revise directly in either an upward and a downward direction [MASK] the money wage rate but revisions of the money wage rate will have no direct effect on the real wage rate owing to the sympathetic variations in the general level of prices that they would provoke
",is,is,53,14,1,1,16,0,none,,sg
idea,is,are,"The idea that the temporary real effects produced by demand stimuli are due to a lack of information which is readily available at zero cost is surely far fetched when it comes to calculations of the real wage rate
","The idea that the temporary real effects produced by demand stimuli are due to a lack of information which is readily available at zero cost [MASK] surely far fetched when it comes to calculations of the real wage rate
",is,is,39,24,6,1,25,2,15,,sg
performer,was,were,"Another performer in One Over The Eight who took to Kenneth with the greatest of affections was Lance Percival soon to make a national name for himself with the top TV satire show of the Sixties That Was The Week That Was
","Another performer in One Over The Eight who took to Kenneth with the greatest of affections [MASK] Lance Percival soon to make a national name for himself with the top TV satire show of the Sixties That Was The Week That Was
",was,was,42,15,1,1,16,1,1,,sg
threat,is,are,"The greatest threat at the moment to the preservation of data resources is lack of a business case and the proliferation of high-powered stand-alone or negatively networked computers in organisations
","The greatest threat at the moment to the preservation of data resources [MASK] lack of a business case and the proliferation of high-powered stand-alone or negatively networked computers in organisations
",is,is,30,10,4,0,12,2,1,,sg
belief,is,are,"The belief that it would be possible to maintain old computer hardware in operational order for use by future historians is utopian
","The belief that it would be possible to maintain old computer hardware in operational order for use by future historians [MASK] utopian
",is,is,22,19,5,1,20,1,1,,sg
management,is,are,"The effective management of the information at the time of creations is vital to ensure both that the successive teams do not re-invent the wheel and that the corporate memory does not suffer
","The effective management of the information at the time of creations [MASK] vital to ensure both that the successive teams do not re-invent the wheel and that the corporate memory does not suffer
",is,is,33,9,3,0,11,1,1,,sg
definition,makes,make,"The formal definition of these classes in the SGML syntax used to express the TEI schemes makes it possible for users of the scheme to extend it in a simple and controlled way new elements may be added into existing classes and existing elements renamed or undefined without any need for extensive revision of the TEI document type definitions though this is perhaps a benefit which only those who have ever tried to modify an existing dtd by hand will truly appreciate
","The formal definition of these classes in the SGML syntax used to express the TEI schemes [MASK] it possible for users of the scheme to extend it in a simple and controlled way new elements may be added into existing classes and existing elements renamed or undefined without any need for extensive revision of the TEI document type definitions though this is perhaps a benefit which only those who have ever tried to modify an existing dtd by hand will truly appreciate
",make,make,82,14,3,2,16,2,1,,sg
issue,is,are,"An additional potential issue with regard to the weights and sometimes even admissibilities given to computer evidences is the best evidence rule
","An additional potential issue with regard to the weights and sometimes even admissibilities given to computer evidences [MASK] the best evidence rule
",is,are,22,14,5,1,17,3,1,,sg
stage,is,are,"The first necessary stage in the exercises of the right of accesses is to discover the existence of the files since access is not a meaningful term unless combined with a knowledge of where the files are
","The first necessary stage in the exercises of the right of accesses [MASK] to discover the existence of the files since access is not a meaningful term unless combined with a knowledge of where the files are
",is,is,37,9,3,0,12,2,1,,sg
strategy,is,are,"The strategy which envisages the computer as a sophisticated delivery system for information similar in fundamental respects to the library is ideal for undergraduates
","The strategy which envisages the computer as a sophisticated delivery system for information similar in fundamental respects to the library [MASK] ideal for undergraduates
",is,is,24,19,6,1,20,1,4,,sg
Archive,is,are,"The National Sound Archive which is parts of the directorate of Humanities and Social Sciences is a special case much involved in most of the issues raised here but I propose to leave the question of recorded sound to one side for the purposes of this paper and to concentrate on written and graphic sources for the historian
","The National Sound Archive which is parts of the directorate of Humanities and Social Sciences [MASK] a special case much involved in most of the issues raised here but I propose to leave the question of recorded sound to one side for the purposes of this paper and to concentrate on written and graphic sources for the historian
",is,is,58,12,2,0,15,1,9,,sg
step,is,are,"A critical first step in the process of establishing a data resource for researches and teachings is the location and acquisition of relevant data
","A critical first step in the process of establishing a data resource for researches and teachings [MASK] the location and acquisition of relevant data
",is,is,24,13,5,1,16,2,1,,sg
form,was,were,"The only form of private enterprise including building which aimed primarily at the mass markets apart from the markets and small shops was the tavern which became the elaborate gin-palace in the Britain of the 1860s and 1870s and its offspring the theatre and music-hall
","The only form of private enterprise including building which aimed primarily at the mass markets apart from the markets and small shops [MASK] the tavern which became the elaborate gin-palace in the Britain of the 1860s and 1870s and its offspring the theatre and music-hall
",was,was,45,20,6,2,22,3,1,,sg
line,was,were,"The line which divided the labouring poor into the potential militants of labour movement and the rest was not sharp and yet it existed
","The line which divided the labouring poor into the potential militants of labour movement and the rest [MASK] not sharp and yet it existed
",was,was,24,16,4,2,17,1,7,,sg
belief,is,are,"The belief that mid-nineteenth-century bourgeois were unusually full-blooded and therefore obliged to build unusually impenetrable defences against physical temptation is unconvincing what made the temptations so great was precisely the extremism of the accepted moral standards which also made the fall correspondingly more dramatic as in the case of the Catholic-puritan Count Muffat in Emile Zola 's Nana the novel of prostitution in the Paris of the 1860s
","The belief that mid-nineteenth-century bourgeois were unusually full-blooded and therefore obliged to build unusually impenetrable defences against physical temptation [MASK] unconvincing what made the temptations so great was precisely the extremism of the accepted moral standards which also made the fall correspondingly more dramatic as in the case of the Catholic-puritan Count Muffat in Emile Zola 's Nana the novel of prostitution in the Paris of the 1860s
",are,is,68,18,2,2,19,0,none,,sg
recourse,was,were,"The classical recourse of the bourgeois in trouble or with causes for complaints was to exercise or ask for personal influence to have a word with the mayor the deputy the minister the old school or college comrade the kinsman or business contact
","The classical recourse of the bourgeois in trouble or with causes for complaints [MASK] to exercise or ask for personal influence to have a word with the mayor the deputy the minister the old school or college comrade the kinsman or business contact
",was,was,43,11,4,0,13,2,1,,sg
calculus,was,were,"The calculus without which the achievements of engineering and communications of the period would have been impossible was by now far behind the moving frontier of mathematics
","The calculus without which the achievements of engineering and communications of the period would have been impossible [MASK] by now far behind the moving frontier of mathematics
",was,was,27,16,4,0,17,2,8,,sg
model,was,were,"The remarkable mathematical model of the electromagnetic theories of light formulated by that ancestor of modern theoretical physics James Clerk Maxwell in 1862 was indeed both profound and open-ended
","The remarkable mathematical model of the electromagnetic theories of light formulated by that ancestor of modern theoretical physics James Clerk Maxwell in 1862 [MASK] indeed both profound and open-ended
",was,was,29,20,4,1,23,1,16,,sg
cost,is,are,"The the cost of those books on a blind this size is sixteen pounds
","The the cost of those books on a blind this size [MASK] sixteen pounds
",is,is,14,9,2,0,11,1,6,,sg
clearance,is,are,"the clearance when the door is open to the the pieces of wall there is only that much
","the clearance when the door is open to the the pieces of wall there [MASK] only that much
",is,is,18,13,3,0,14,1,4,,sg
partnership,means,mean,"The partnership which we 've built up over many years with you means that I 'm confident that British tax payers and recipients in er dep developing countries are getting the best possible value for money when government supports S C F initiatives  and what is true for S C F is true for the many other M G N G Os with whom we work
","The partnership which we 've built up over many years with you [MASK] that I 'm confident that British tax payers and recipients in er dep developing countries are getting the best possible value for money when government supports S C F initiatives  and what is true for S C F is true for the many other M G N G Os with whom we work
",means,means,67,11,1,1,12,1,3,,sg
fact,raises,raise,"The fact that most of the codes and standards incorporated in VDU safety clauses seem frequently to have been taken wholesale from various union guidance documents raises questions as to how meaningful the discussions on VDUs have been
","The fact that most of the codes and standards incorporated in VDU safety clauses seem frequently to have been taken wholesale from various union guidance documents [MASK] questions as to how meaningful the discussions on VDUs have been
",raises,raises,38,25,8,3,26,4,1,,sg
point,is,are,"The first point that might occur to us as a necessary attribute of complex things is that it has a heterogeneous structure
","The first point that might occur to us as a necessary attribute of complex things [MASK] that it has a heterogeneous structure
",is,is,22,13,2,1,15,1,1,,sg
requirement,is,are,"The minimum requirement for us to recognize objects as animals or plants is that it should succeed in making a living of some sort more precisely that it or at least some members of its kind should live long enough to reproduce
","The minimum requirement for us to recognize objects as animals or plants [MASK] that it should succeed in making a living of some sort more precisely that it or at least some members of its kind should live long enough to reproduce
",is,is,42,10,3,1,12,3,1,,sg
number,is,are,"The total number of cells in the body of a human is about 10 trillion
","The total number of cells in the body of a human [MASK] about 10 trillion
",is,is,15,9,3,0,11,1,7,,sg
idea,is,are,"The second clever idea that might occur to the engineer especially one interested in measuring the speed of moving targets is to exploit what physicists call the Doppler Shift
","The second clever idea that might occur to the engineer especially one interested in measuring the speed of moving targets [MASK] to exploit what physicists call the Doppler Shift
",is,is,29,17,3,3,20,1,1,,sg
fact,is,are,"The fact that bats construct their internal model with the aid of echoes while we construct ours with the aid of light is irrelevant
","The fact that bats construct their internal model with the aid of echoes while we construct ours with the aid of light [MASK] irrelevant
",is,is,24,21,6,2,22,2,10,,sg
thing,was,were,"The interesting thing about this in my experience the ever co-ordinated attempts to find targets was that despite the assurance of all the enthusiasts to the scheme one Plt Off Leonard Cheshire included that the run was made with great care not one of a dozen or more taking part in this quite unofficial experiment claimed to have ever seen one of the other 's flares or Very lights
","The interesting thing about this in my experience the ever co-ordinated attempts to find targets [MASK] that despite the assurance of all the enthusiasts to the scheme one Plt Off Leonard Cheshire included that the run was made with great care not one of a dozen or more taking part in this quite unofficial experiment claimed to have ever seen one of the other 's flares or Very lights
",were,was,69,13,2,0,15,1,4,,sg
number,is,are,"The number of people in Britain who are from or whose parents are from the New Commonwealth countries and Pakistan a category close to but not quite identical to that of the black population is just over 2 million just under 4% of the population
","The number of people in Britain who are from or whose parents are from the New Commonwealth countries and Pakistan a category close to but not quite identical to that of the black population [MASK] just over 2 million just under 4% of the population
",is,is,45,33,5,0,34,2,17,,sg
brilliance,was,were,"The brilliance of the blue and gold morning the fragrance of fresh-ground coffee the tranquil pool and bewitching glimpses of blue sea beyond it was all in marked contrast to her bleak mood
","The brilliance of the blue and gold morning the fragrance of fresh-ground coffee the tranquil pool and bewitching glimpses of blue sea beyond it [MASK] all in marked contrast to her bleak mood
",were,were,33,23,7,0,24,1,6,,sg
puzzle,was,were,"This challenging elusive double-sided human jigsaw puzzle with his empathy his near-magical charm his will-o'-the-wisp ability to play mental hide and seek his loquacity so oddly mixed with spiritual reticence his dreams and his talent was hers 
","This challenging elusive double-sided human jigsaw puzzle with his empathy his near-magical charm his will-o'-the-wisp ability to play mental hide and seek his loquacity so oddly mixed with spiritual reticence his dreams and his talent [MASK] hers 
",was,was,38,29,9,3,35,0,none,,sg
lady,was,were,"An elderly lady who owned one of the bigger villas Mrs Richards was a well-known figure on the complex trotting along to the sauna with her parasol shielding her face from the hot sun and eating paella regularly at Don Pedro 's restaurant before taking a dip in the pool
","An elderly lady who owned one of the bigger villas Mrs Richards [MASK] a well-known figure on the complex trotting along to the sauna with her parasol shielding her face from the hot sun and eating paella regularly at Don Pedro 's restaurant before taking a dip in the pool
",was,was,50,10,1,1,12,1,3,,sg
way,is,are,"The single most obvious way in which the relationship between languages and contexts is reflected in the structures of languages themselves is through the phenomenon of deixis
","The single most obvious way in which the relationship between languages and contexts is reflected in the structures of languages themselves [MASK] through the phenomenon of deixis
",is,is,27,17,5,1,21,4,11,,sg
model,has,have,"This geometric model a geometrically constructed system which seems to have the same properties as the Lorenz equations though the connection depends on several global properties of the flow which have not yet been proved has an attracting set for a range of parameter values which is a strange attractor but which is a slightly different strange attractor at every parameter value in the range see below
","This geometric model a geometrically constructed system which seems to have the same properties as the Lorenz equations though the connection depends on several global properties of the flow which have not yet been proved [MASK] an attracting set for a range of parameter values which is a strange attractor but which is a slightly different strange attractor at every parameter value in the range see below
",have,have,67,33,6,5,35,3,22,,sg
amount,allows,allow,"The immense amount of detailed experimental and theoretical work done on the equations often allows these new developments to be seen in a fuller context than is possible with newer and less well understood systems
","The immense amount of detailed experimental and theoretical work done on the equations often [MASK] these new developments to be seen in a fuller context than is possible with newer and less well understood systems
",allows,allows,35,12,2,1,14,1,2,,sg
fact,is,are,"The fact that trajectories which wander out of the region may later return after wandering chaotically near the strange attractor is of no concern we are concerned only with trajectories that remain forever within the small region and a strange collection of these is removed
","The fact that trajectories which wander out of the region may later return after wandering chaotically near the strange attractor [MASK] of no concern we are concerned only with trajectories that remain forever within the small region and a strange collection of these is removed
",is,is,45,19,3,3,20,1,17,,sg
value,is,are,"The parameter value rA which is the accumulation point of an infinite sequence of homoclinic orbits occurring as r decreases is the parameter value at which the strange set becomes an attractor
","The parameter value rA which is the accumulation point of an infinite sequence of homoclinic orbits occurring as r decreases [MASK] the parameter value at which the strange set becomes an attractor
",is,is,32,18,8,1,20,2,1,,sg
position,is,are,"The position of an integral group with respect to groups which might indicate the circulation of illustrations a consensus between clients as to designs which were preferable or long term changes in- taste is also important
","The position of an integral group with respect to groups which might indicate the circulation of illustrations a consensus between clients as to designs which were preferable or long term changes in- taste [MASK] also important
",is,is,36,32,10,2,33,5,3,,sg
panel,has,have,"A third rectangular panel adjacent to the central squares has a strip of a pattern reminiscent of the cornice decoration which encloses the central square in mosaic B. At High Wycombe this is composed of four erect leaves ' on thick stems
","A third rectangular panel adjacent to the central squares [MASK] a strip of a pattern reminiscent of the cornice decoration which encloses the central square in mosaic B. At High Wycombe this is composed of four erect leaves ' on thick stems
",has,has,42,6,1,0,9,1,1,,sg
variety,is,are,"The tongued variety of chain-guilloche not a common feature which forms the border of the central squares in mosaic C is also of a similar design if not execution to that which encloses the central panel which contains the Cupids
","The tongued variety of chain-guilloche not a common feature which forms the border of the central squares in mosaic C [MASK] also of a similar design if not execution to that which encloses the central panel which contains the Cupids
",are,are,40,18,5,1,20,1,4,,sg
quality,is,are,"The superior quality of this mosaic -like many mosaics in when compared with those in Britain is self-evident
","The superior quality of this mosaic -like many mosaics in when compared with those in Britain [MASK] self-evident
",is,is,18,14,1,1,16,1,8,,sg
test,is,are,"A test which gives people working with pesticides an indication of the extent of their exposure is to undergo extensive field trials next year
","A test which gives people working with pesticides an indication of the extent of their exposure [MASK] to undergo extensive field trials next year
",is,is,24,15,5,2,16,1,9,,sg
study,is,are,"A further study testing the effects of sediment dwelling animals such as mussels shrimps and crabs is due to start next April
","A further study testing the effects of sediment dwelling animals such as mussels shrimps and crabs [MASK] due to start next April
",is,are,22,14,7,1,16,5,1,,sg
lamb,is,are,"The lamb which comes from the Prince 's own Duchy of Cornwall farms is to be marketed as coming from stress-free animals on a vegetarian diet and will sell for 15 per cent above the normal price
","The lamb which comes from the Prince 's own Duchy of Cornwall farms [MASK] to be marketed as coming from stress-free animals on a vegetarian diet and will sell for 15 per cent above the normal price
",is,is,37,12,1,1,13,1,1,,sg
budget,is,are,"The departmental budget which covers costs other than those of buildings including rent and external maintenance and the salaries of academic staff which are met centrally for the School of Geography for 1992–3 is of the order of 408K of which 304K relates to the cost of departmental salaries and 104K to non-staff costs
","The departmental budget which covers costs other than those of buildings including rent and external maintenance and the salaries of academic staff which are met centrally for the School of Geography for 1992–3 [MASK] of the order of 408K of which 304K relates to the cost of departmental salaries and 104K to non-staff costs
",is,is,54,31,6,3,33,3,15,,sg
issue,was,were,"The main issue of interest to Catholic school headteachers and staff was the evaluation of the Catholic school
","The main issue of interest to Catholic school headteachers and staff [MASK] the evaluation of the Catholic school
",was,were,18,9,4,0,11,1,3,,sg
stance,is,are,"A neutral stance in relation to moral and spiritual development of pupils is not acceptable to the Catholic community especially in the Catholic school
","A neutral stance in relation to moral and spiritual development of pupils [MASK] not acceptable to the Catholic community especially in the Catholic school
",is,is,24,10,3,0,12,1,1,,sg
ban,was,were,"The 50-year ban which now needs to be ratified by the governments of the 26 voting members of the Treaty was a compromise between those nations which favoured the eventual opening of the Antarctic to mineral exploitation notably the USA and UK and those which supported proposals for the continent to be declared a world park led by Australia and France
","The 50-year ban which now needs to be ratified by the governments of the 26 voting members of the Treaty [MASK] a compromise between those nations which favoured the eventual opening of the Antarctic to mineral exploitation notably the USA and UK and those which supported proposals for the continent to be declared a world park led by Australia and France
",was,was,61,18,4,2,20,2,4,,sg
wisdom,is,are,"The received wisdom that the imposition of stringent pollution controls will come at the expense of jobs is wholly wrong according to a report by Professor David Pearce adviser to the Environment Secretary
","The received wisdom that the imposition of stringent pollution controls will come at the expense of jobs [MASK] wholly wrong according to a report by Professor David Pearce adviser to the Environment Secretary
",is,are,33,15,5,2,17,2,1,,sg
whaling,is,are,"The only commercial whaling which may gain relatively straightforward approval under the plans next year is the Japanese hunt of minke whales in the Antarctic oceans
","The only commercial whaling which may gain relatively straightforward approval under the plans next year [MASK] the Japanese hunt of minke whales in the Antarctic oceans
",is,is,26,12,3,1,15,1,3,,sg
co-operate,is,are,"The department co-operate with Oxford Brookes University in teaching a new Master 's course in Historic Conservation the course is modular in form and part of it entitles students to a certificate awarded by the department
","The department co-operate with Oxford Brookes University in teaching a new Master 's course in Historic Conservation the course [MASK] modular in form and part of it entitles students to a certificate awarded by the department
",are,are,36,17,3,3,19,0,none,,sg
exercise,is,are,"A major consultative exercise on the nature and role of promotions with regard to academic staff is also under way
","A major consultative exercise on the nature and role of promotions with regard to academic staff [MASK] also under way
",is,is,20,13,5,0,16,1,6,,sg
Project,is,are,"The Okavango Water Development Project which proposes to supply water to the town of Maun in the Boteti region and the Orapa diamond mine is another source of controversy
","The Okavango Water Development Project which proposes to supply water to the town of Maun in the Boteti region and the Orapa diamond mine [MASK] another source of controversy
",is,is,29,20,5,2,24,0,none,,sg
slick,was,were,"The huge slick of oil in the northern Gulf caused by Iraqi pumping of Kuwaiti crude into the sea during the present wars was by early February threatening marine life throughout the area
","The huge slick of oil in the northern Gulf caused by Iraqi pumping of Kuwaiti crude into the sea during the present wars [MASK] by early February threatening marine life throughout the area
",was,was,33,21,5,1,23,1,1,,sg
fact,is,are,"The fact that she has fought back to the level that she has now attained is tributes to the loving care encouragement and inspiration given her by her parents
","The fact that she has fought back to the level that she has now attained [MASK] tributes to the loving care encouragement and inspiration given her by her parents
",are,is,29,14,1,2,15,0,none,,sg
figure,is,are,"The proper figure for general damages for pain suffering and loss of amenity is one hundred and thirty thousand pounds
","The proper figure for general damages for pain suffering and loss of amenity [MASK] one hundred and thirty thousand pounds
",is,is,20,11,5,0,13,1,8,,sg
help,was,were,"The help given in the first period of Addenbrookes when the plaintiff had her own room and was for much of the time still in a coma was clearly signifidant significant not only in caring for the plaintiff 's physical needs but in giving the support and encouragement which no doubt contributed greatly to the plaintiff 's emergence from that coma
","The help given in the first period of Addenbrookes when the plaintiff had her own room and was for much of the time still in a coma [MASK] clearly signifidant significant not only in caring for the plaintiff 's physical needs but in giving the support and encouragement which no doubt contributed greatly to the plaintiff 's emergence from that coma
",was,was,61,26,5,2,27,0,none,,sg
expectancy,is,are,The life expectancy of a girl of twenty four according to conventional tables is for the age of seventy nine,The life expectancy of a girl of twenty four according to conventional tables [MASK] for the age of seventy nine,is,is,20,11,3,1,13,1,1,,sg
sum,is,are,"The total sum awarded in relation to future loss of earnings is therefore two hundred and thirty six thousand seven hundred pounds and that for past loss of earnings is eight thousand pounds making a total of forty four thousand seven hundred pounds
","The total sum awarded in relation to future loss of earnings [MASK] therefore two hundred and thirty six thousand seven hundred pounds and that for past loss of earnings is eight thousand pounds making a total of forty four thousand seven hundred pounds
",is,is,43,9,3,1,11,1,1,,sg
aim,is,are,"The German government 's aim of for a reduction of carbon dioxide emissions by 30 per cent on 1987 levels by the year 2005 is likely to fall short of expectations
","The German government 's aim of for a reduction of carbon dioxide emissions by 30 per cent on 1987 levels by the year 2005 [MASK] likely to fall short of expectations
",is,is,31,20,8,0,24,2,5,,sg
decline,is,are,"A significant decline in the numbers of some traditional bird species in the UK is due to modern farming methods according to research published by the British Trust for Ornithology
","A significant decline in the numbers of some traditional bird species in the UK [MASK] due to modern farming methods according to research published by the British Trust for Ornithology
",is,is,30,12,3,0,14,2,4,,sg
NRA,is,are,"The National Rivers Authority NRA which had repeatedly warned of the dangers of the situation ever since the pumping had been stopped is to ask the government for emergency funds to run a treatment programme for the water remaining in the mine
","The National Rivers Authority NRA which had repeatedly warned of the dangers of the situation ever since the pumping had been stopped [MASK] to ask the government for emergency funds to run a treatment programme for the water remaining in the mine
",is,is,42,18,3,2,22,1,11,,sg
legislation,is,are,"The new legislation which will in effect make over 88 per cent of Australia 's native forests available to large scale-logging and pulping concerns is likely to be introduced in March
","The new legislation which will in effect make over 88 per cent of Australia 's native forests available to large scale-logging and pulping concerns [MASK] likely to be introduced in March
",is,is,31,22,5,1,24,1,8,,sg
aim,was,were,"The government 's stated aim that 25 per cent of domestic waste should be recycled by the year 2000 was unambitious when compared with targets set by Germany Denmark and the Netherlands
","The government 's stated aim that 25 per cent of domestic waste should be recycled by the year 2000 [MASK] unambitious when compared with targets set by Germany Denmark and the Netherlands
",was,were,32,15,4,3,19,0,none,,sg
turbine,is,are,"An underwater turbine capable of generating electricity from the rise and fall of the tides is to be tested in Scotland
","An underwater turbine capable of generating electricity from the rise and fall of the tides [MASK] to be tested in Scotland
",is,is,21,13,4,1,15,1,1,,sg
government,is,are,"The Nepalese government which derives significant amounts of revenue from Everest expeditions in particular is opposed to restrictions arguing instead that the management of expeditions needs to be improved
","The Nepalese government which derives significant amounts of revenue from Everest expeditions in particular [MASK] opposed to restrictions arguing instead that the management of expeditions needs to be improved
",is,is,29,12,3,1,14,2,3,,sg
level,is,are,"The current level of funding amounting to 550 million ecu for the 1990-94 framework programme on researches and technological developments is close to running out
","The current level of funding amounting to 550 million ecu for the 1990-94 framework programme on researches and technological developments [MASK] close to running out
",are,is,25,18,5,1,20,1,4,,sg
aim,is,are,"The aim of the directives on civil liability for damage caused by wastes which is still at an early stage of discussions is to force banks to take greater interest in the environmentally damaging activities of their business customers
","The aim of the directives on civil liability for damage caused by wastes which is still at an early stage of discussions [MASK] to force banks to take greater interest in the environmentally damaging activities of their business customers
",is,is,39,21,6,1,22,3,1,,sg
expansion,makes,make,"The rapid expansion in the levels of information available in society also makes it increasingly important that pupils begin to develop an awareness of the wealth of information available and the skills and confidence which will allow them to make use of the information after they leave school
","The rapid expansion in the levels of information available in society also [MASK] it increasingly important that pupils begin to develop an awareness of the wealth of information available and the skills and confidence which will allow them to make use of the information after they leave school
",makes,makes,48,10,3,0,12,1,7,,sg
argument,depends,depend,"These latter argument fixed in different ways on the question of how the statute should be read make sense only on the assumption that the law judges have an obligation to enforce depends on the correct reading even when it is controversial what that is this is exactly the assumption conventionalism denies
","These latter argument fixed in different ways on the question of how the statute should be read make sense only on the assumption that the law judges have an obligation to enforce [MASK] on the correct reading even when it is controversial what that is this is exactly the assumption conventionalism denies
",depends,depends,52,30,8,4,32,2,6,,sg
fact,was,were,"The equally obvious fact that she had clearly felt he 'd married well beneath him and into a family of which she had already disapproved was something that Laura had n't known how to deal with
","The equally obvious fact that she had clearly felt he 'd married well beneath him and into a family of which she had already disapproved [MASK] something that Laura had n't known how to deal with
",were,was,36,22,1,3,25,0,none,,sg
area,was,were,"The only politically important area of British life which was not dominated by these less than adequate children of the Victorians was the labour movement
","The only politically important area of British life which was not dominated by these less than adequate children of the Victorians [MASK] the labour movement
",were,were,25,17,2,1,21,1,4,,sg
event,was,were,"The event which finally drew the attention of the labour movement to the threat posed by fascism was the overthrow of democracy in Austria in February 1934
","The event which finally drew the attention of the labour movement to the threat posed by fascism [MASK] the overthrow of democracy in Austria in February 1934
",was,was,27,16,5,2,17,0,none,,sg
Party,was,were,"The Communist Party of Great Britain which was thus excluded from the Labour Party on its foundation was by far the most important Left minority in existence in the 1930s although it had to compete with the ILP for that position at least until 1935
","The Communist Party of Great Britain which was thus excluded from the Labour Party on its foundation [MASK] by far the most important Left minority in existence in the 1930s although it had to compete with the ILP for that position at least until 1935
",was,was,45,15,1,1,17,0,none,,sg
belief,was,were,"The belief that the Depression had resulted in a leftward swing in working class opinions was central to Communist strategy
","The belief that the Depression had resulted in a leftward swing in working class opinions [MASK] central to Communist strategy
",was,was,20,14,3,2,15,1,1,,sg
movement,was,were,"A less obtrusive movement of opinion which was to have an important effect on the balance of forces within the mass Labour Party was the demand for organizational changes which would increase the voice of the Constituency Parties on the National Executive
","A less obtrusive movement of opinion which was to have an important effect on the balance of forces within the mass Labour Party [MASK] the demand for organizational changes which would increase the voice of the Constituency Parties on the National Executive
",was,was,42,20,4,1,23,1,6,,sg
example,was,were,"The clearest example of a mass organization which voluntarily worked with the Communists while independently organised and funded was the Left Book Club
","The clearest example of a mass organization which voluntarily worked with the Communists while independently organised and funded [MASK] the Left Book Club
",was,was,23,16,1,3,18,0,none,,sg
difficulty,is,are,"The difficulty we have with both this scheme and the others that er you 'll come to in a moment is that there are always people who want you to go that bit further
","The difficulty we have with both this scheme and the others that er you 'll come to in a moment [MASK] that there are always people who want you to go that bit further
",is,is,34,19,3,2,20,1,10,,sg
element,is,are,"The final element in the change of eighty four thousand pounds between years is the reduction in the committee 's budget four thousand pounds for efficiency savings which we discussed and agreed at the meeting in September
","The final element in the change of eighty four thousand pounds between years [MASK] the reduction in the committee 's budget four thousand pounds for efficiency savings which we discussed and agreed at the meeting in September
",is,is,37,11,3,0,13,2,1,,sg
thing,is,are,"The other interesting thing you would find about vocabulary and treatment between the tabloids and the Independent is the Independent has a policy of very little coverage of the Royal Family and I suspect that other than a paragraph or a sentence or two of introduction that those four paragraphs at the foot of the page are simply the text of her speech  courtiers and media blamed as the Princess retreats from public life I suspect that you will find that that is not a story it is simply a statement of fact and an actual reprint of the text of her speech
","The other interesting thing you would find about vocabulary and treatment between the tabloids and the Independent [MASK] the Independent has a policy of very little coverage of the Royal Family and I suspect that other than a paragraph or a sentence or two of introduction that those four paragraphs at the foot of the page are simply the text of her speech  courtiers and media blamed as the Princess retreats from public life I suspect that you will find that that is not a story it is simply a statement of fact and an actual reprint of the text of her speech
",is,is,104,14,3,1,17,1,4,,sg
thing,was,were,"Another thing which came across in your comments from more than one member was the question of quality
","Another thing which came across in your comments from more than one member [MASK] the question of quality
",was,was,18,12,2,1,13,1,6,,sg
thing,is,are,"The first thing to be said in relation to the merits of the appeal is that none of the parties to the appeal all represented here today opposes it
","The first thing to be said in relation to the merits of the appeal [MASK] that none of the parties to the appeal all represented here today opposes it
",is,is,29,12,3,1,14,1,4,,sg
impression,is,are,"The impression I have from such documents as I have seen is that the obvious hardship to the residents of Bridge and Medway Roads was somewhat played down and the employment and general economic benefits were underlined
","The impression I have from such documents as I have seen [MASK] that the obvious hardship to the residents of Bridge and Medway Roads was somewhat played down and the employment and general economic benefits were underlined
",is,is,37,10,1,2,11,1,5,,sg
